Date,Actual_Price,ARIMA_Forecast,SARIMA_Forecast
2017-10-03,2939,2874.421737856603,2969.4395890511396
2017-10-04,2931,2874.153950170206,2969.6734795107895
2017-10-05,2935,2873.8869009269356,2969.8981301725807
2017-10-06,2955,2873.6205880904836,2970.127056973031
2017-10-07,2957,2873.355009630158,2970.3582906190945
2017-10-08,2957,2873.090163520864,2970.6006050210626
2017-10-09,2973,2872.826047743094,2970.8407214098524
2017-10-10,2985,2872.562660282908,2971.071006472776
2017-10-11,2977,2872.29999913192,2971.2976519614836
2017-10-12,2980,2872.038062287281,2971.5425179012095
2017-10-13,2979,2871.776847751667,2971.7754872799615
2017-10-14,2985,2871.51635353326,2972.0155646381427
2017-10-15,2985,2871.256577645736,2972.2480416274657
2017-10-16,2992,2870.9975181082473,2972.47229003738
2017-10-17,2964,2870.739172945409,2972.710214968403
2017-10-18,2957,2870.4815401872834,2972.9465588680523
2017-10-19,2968,2870.2246178693654,2973.1756532797717
2017-10-20,2961,2869.9684040325665,2973.409486117906
2017-10-21,2955,2869.7128967232006,2973.642928750596
2017-10-22,2955,2869.45809399297,2973.873962247715
2017-10-23,2941,2869.2039938989487,2974.109727811383
2017-10-24,2950,2868.950594503568,2974.34243616025
2017-10-25,2935,2868.6978938746033,2974.57222709202
2017-10-26,2932,2868.4458900851578,2974.8040468600584
2017-10-27,2929,2868.194581213648,2975.0289757943765
2017-10-28,2932,2867.943965343789,2975.26544182806
2017-10-29,2932,2867.6940405645814,2975.494032962951
2017-10-30,2930,2867.444804970294,2975.735193912761
2017-10-31,2918,2867.1962566604525,2975.968696477482
2017-11-01,2924,2866.9483937398218,2976.1979989763195
2017-11-02,2928,2866.701214318394,2976.427932686148
2017-11-03,2915,2866.4547165113713,2976.661794578843
2017-11-04,2909,2866.2088984391567,2976.8897507144898
2017-11-05,2909,2865.9637582273326,2977.1204496447704
2017-11-06,2917,2865.719294006653,2977.352631262797
2017-11-07,2940,2865.4755039130246,2977.591909801734
2017-11-08,2953,2865.2323860874963,2977.8297884691674
2017-11-09,2959,2864.989938676241,2978.061382876338
2017-11-10,2966,2864.748159830546,2978.290654989763
2017-11-11,2949,2864.507047706794,2978.531592560382
2017-11-12,2949,2864.2666004664543,2978.7649243736614
2017-11-13,2957,2864.026816276064,2979.002811018462
2017-11-14,2948,2863.787693307217,2979.2358409460085
2017-11-15,2965,2863.549229736549,2979.4636121786707
2017-11-16,2952,2863.311423745724,2979.7001413100734
2017-11-17,2948,2863.07427352142,2979.9356653677296
2017-11-18,2969,2862.8377772553144,2980.1665572312004
2017-11-19,2969,2862.6019331440734,2980.400487704313
2017-11-20,2962,2862.3667393893343,2980.634175088606
2017-11-21,2940,2862.132194197693,2980.8663275155127
2017-11-22,2945,2861.898295780693,2981.10151448407
2017-11-23,2945,2861.6650423548076,2981.334751804596
2017-11-24,2944,2861.4324321414297,2981.56612893109
2017-11-25,2938,2861.2004633668553,2981.79881086305
2017-11-26,2938,2860.9691342622727,2982.0270900999108
2017-11-27,2945,2860.738443063748,2982.2627582721634
2017-11-28,2941,2860.5083880122106,2982.493394068705
2017-11-29,2925,2860.2789673534407,2982.7320796136905
2017-11-30,2918,2860.050179338057,2982.965871326365
2017-12-01,2908,2859.822022221501,2983.19698210981
2017-12-02,2921,2859.5944942640253,2983.4285033925908
2017-12-03,2921,2859.3675937306807,2983.662544835174
2017-12-04,2903,2859.1413188913007,2983.8928139157324
2017-12-05,2911,2858.9156680204915,2984.1248446532095
2017-12-06,2898,2858.690639397616,2984.3578307333773
2017-12-07,2876,2858.466231306783,2984.5953645813493
2017-12-08,2857,2858.242442036831,2984.83200928664
2017-12-09,2853,2858.0192698813203,2985.0646394365885
2017-12-10,2853,2857.7967131385135,2985.2957902071394
2017-12-11,2840,2857.5747701113683,2985.534412053671
2017-12-12,2817,2857.353439107521,2985.7681737494313
2017-12-13,2816,2857.132718439274,2986.004856588883
2017-12-14,2825,2856.9126064235857,2986.2384383290187
2017-12-15,2831,2856.693101382054,2986.4686617536922
2017-12-16,2825,2856.4742016409054,2986.7044957740836
2017-12-17,2825,2856.2559055309825,2986.939693278866
2017-12-18,2844,2856.03821138773,2987.171933353786
2017-12-19,2843,2855.821117551183,2987.406124378391
2017-12-20,2845,2855.6046223659537,2987.640166466371
2017-12-21,2845,2855.3887241812204,2987.8732329798977
2017-12-22,2858,2855.1734213507125,2988.108247841643
2017-12-23,2866,2854.9587122326993,2988.342021778526
2017-12-24,2866,2854.744595189977,2988.574612030715
2017-12-25,2866,2854.531068589858,2988.80804381245
2017-12-26,2880,2854.3181308041553,2989.038665019888
2017-12-27,2890,2854.105780209172,2989.2740208591285
2017-12-28,2903,2853.8940151856887,2989.506163206302
2017-12-29,2906,2853.682834118952,2989.7434630260823
2017-12-30,2917,2853.472235398661,2989.9776380057124
2017-12-31,2917,2853.2622174189537,2990.210104133829
2018-01-01,2912,2853.0527785783984,2990.4428395482464
2018-01-02,2918,2852.843917279979,2990.6771941749175
2018-01-03,2924,2852.635631931082,2990.909141567734
2018-01-04,2917,2852.427920943488,2991.1422228244896
2018-01-05,2918,2852.220782733355,2991.3759220029233
2018-01-06,2922,2852.0142157212094,2991.612537817545
2018-01-07,2922,2851.8082183319334,2991.8485913091686
2018-01-08,2925,2851.602788994752,2992.082082595337
